latitude,longitude,event_date,elevation,slope,aspect,curvature,landslide_type,state,region,source,landslide,provenance,rain_24h,rain_72h,rain_7d,rain_14d,rainfall_intensity
27.12,88.5833,2014-07-15,1926.0,28.76,16.01,-5.0156,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.98km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,22.2,118.8,307.8,456.7,0.187
27.12,88.5833,2015-12-10,1926.0,28.76,16.01,-5.0156,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.98km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,4.1,4.2,24.8,92.5,0.976
27.12,88.5833,2016-08-05,1926.0,28.76,16.01,-5.0156,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.98km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,12.1,33.8,91.1,635.3,0.358
27.12,88.5833,2017-02-15,1926.0,28.76,16.01,-5.0156,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (9.98km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,3.6,3.8,6.9,0.0
27.12,88.6389,2014-01-20,1242.0,31.55,270.7,5.004,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,0.1,1.7,0.0
27.12,88.6389,2014-07-15,1242.0,31.55,270.7,5.004,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,29.1,65.9,112.2,244.9,0.442
27.12,88.6389,2015-12-10,1242.0,31.55,270.7,5.004,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,2.0,4.3,0.0
27.12,88.6389,2016-08-05,1242.0,31.55,270.7,5.004,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,32.4,66.7,152.9,553.6,0.486
27.12,88.6389,2017-02-15,1242.0,31.55,270.7,5.004,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (7.99km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,3.6,3.8,6.9,0.0
27.12,88.6944,2014-01-20,1776.0,41.24,218.93,-1.8902,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.86km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,0.1,1.7,0.0
27.12,88.6944,2014-07-15,1776.0,41.24,218.93,-1.8902,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.86km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,29.1,65.9,112.2,244.9,0.442
27.12,88.6944,2015-12-10,1776.0,41.24,218.93,-1.8902,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.86km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,2.0,4.3,0.0
27.12,88.6944,2016-08-05,1776.0,41.24,218.93,-1.8902,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.86km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,32.4,66.7,152.9,553.6,0.486
27.12,88.6944,2017-02-15,1776.0,41.24,218.93,-1.8902,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.86km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.6,6.7,10.4,19.8,0.09
27.12,88.75,2014-01-20,2868.0,27.34,38.77,-0.5073,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.94km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.1,4.4,12.5,31.8,0.023
27.12,88.75,2014-07-15,2868.0,27.34,38.77,-0.5073,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.94km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,31.3,104.3,218.6,401.5,0.3
27.12,88.75,2015-12-10,2868.0,27.34,38.77,-0.5073,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.94km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.8,0.8,7.0,25.5,0.8
27.12,88.75,2016-08-05,2868.0,27.34,38.77,-0.5073,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.94km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,35.6,82.2,197.6,613.3,0.433
27.12,88.75,2017-02-15,2868.0,27.34,38.77,-0.5073,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (8.94km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,2.3,4.4,13.5,0.0
27.1578,88.25,2014-01-20,1007.0,16.85,270.0,-2.0387,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (6.43km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.5,1.4,2.9,0.0
27.1578,88.25,2014-07-15,1007.0,16.85,270.0,-2.0387,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (6.43km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,39.3,53.3,75.3,180.6,0.737
27.1578,88.25,2015-12-10,1007.0,16.85,270.0,-2.0387,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (6.43km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,0.3,18.3,0.0
27.1578,88.25,2016-08-05,1007.0,16.85,270.0,-2.0387,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (6.43km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,2.3,5.5,25.6,486.0,0.418
27.1578,88.25,2017-02-15,1007.0,16.85,270.0,-2.0387,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (6.43km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,5.2,19.0,0.0
27.1578,88.3056,2014-01-20,786.0,13.26,270.0,1.5856,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.79km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.1,5.4,25.7,0.0
27.1578,88.3056,2014-07-15,786.0,13.26,270.0,1.5856,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.79km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,19.4,43.0,90.2,164.2,0.451
27.1578,88.3056,2015-12-10,786.0,13.26,270.0,1.5856,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.79km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.9,0.9,7.8,24.6,0.9
27.1578,88.3056,2016-08-05,786.0,13.26,270.0,1.5856,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.79km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,3.5,5.6,25.3,443.9,0.625
27.1578,88.3056,2017-02-15,786.0,13.26,270.0,1.5856,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (3.79km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,5.2,19.0,0.0
27.1578,88.3611,2014-01-20,1271.0,35.89,90.0,4.8701,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.51km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.5,1.4,2.9,0.0
27.1578,88.3611,2014-07-15,1271.0,35.89,90.0,4.8701,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.51km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,39.3,53.3,75.3,180.6,0.737
27.1578,88.3611,2015-12-10,1271.0,35.89,90.0,4.8701,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.51km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.0,0.3,18.3,0.0
27.1578,88.3611,2016-08-05,1271.0,35.89,90.0,4.8701,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.51km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,2.3,5.5,25.6,486.0,0.418
27.1578,88.3611,2017-02-15,1271.0,35.89,90.0,4.8701,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (5.51km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.9,1.6,6.5,14.7,0.562
27.1578,88.4167,2014-01-20,1450.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (2.5km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,1.0,10.1,43.3,120.3,0.099
27.1578,88.4167,2014-07-15,1450.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (2.5km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,22.2,118.8,307.8,456.7,0.187
27.1578,88.4167,2015-12-10,1450.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (2.5km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,4.1,4.2,24.8,92.5,0.976
27.1578,88.4167,2016-08-05,1450.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (2.5km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,12.1,33.8,91.1,635.3,0.358
27.1578,88.4167,2017-02-15,1450.0,0.0,0.0,0.0,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (2.5km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.1,1.3,5.0,0.0
27.1578,88.4722,2014-01-20,1229.0,9.55,270.0,1.1326,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.47km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,1.0,10.1,43.3,120.3,0.099
27.1578,88.4722,2014-07-15,1229.0,9.55,270.0,1.1326,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.47km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,22.2,118.8,307.8,456.7,0.187
27.1578,88.4722,2015-12-10,1229.0,9.55,270.0,1.1326,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.47km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,4.1,4.2,24.8,92.5,0.976
27.1578,88.4722,2016-08-05,1229.0,9.55,270.0,1.1326,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.47km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,12.1,33.8,91.1,635.3,0.358
27.1578,88.4722,2017-02-15,1229.0,9.55,270.0,1.1326,None,Sikkim,Gangtok / Teesta Monitored Domain,"Observational grid (4.47km buffer from nearest event, real DEM & archive rain)",0,no_recorded_landslide_in_inventory,0.0,0.1,4.1,9.0,0.0
